Jalen Thompson,27,34,71,190,81,Wash. St.,6,ARI,FS
Javon Hargrave,32,98,74,305,81,S.C. State,9,MIN,DT
Jayden Reed,25,11,71,187,81,Michigan St.,2,GB,WR
Jonnu Smith,30,81,75,248,81,FIU,8,PIT,TE
Josh Harris,36,47,73,224,81,Auburn,13,LAC,LS
Kaleb McGary,30,76,78,306,81,Washington,6,ATL,RT
Kamari Lassiter,22,4,72,180,81,Georgia,1,HST,CB
Kevin Byard III,32,31,71,212,81,Mid Tenn St.,9,CHI,FS
Mekhi Becton Sr,26,73,79,363,81,Louisville,5,LAC,RG
Montez Sweat,28,98,78,262,81,Mississippi St.,6,CHI,LE
Morgan Moses,34,76,78,320,81,Virginia,11,NE,RT
Nate Hobbs,26,21,73,195,81,Illinois,4,GB,CB
Nolan Smith Jr,24,3,74,238,81,Georgia,2,PHI,LE
Rashod Bateman,25,7,73,197,81,Minnesota,4,BLT,WR
Shaq Thompson,31,45,72,230,81,Washington,10,BUF,MLB
T.J. Edwards,29,53,73,242,81,Wisconsin,6,CHI,ROLB
Tyler Allgeier,25,25,71,220,81,BYU,3,ATL,HB
Tyler Biadasz,27,63,75,316,81,Wisconsin,5,WAS,C
Adam Thielen,35,19,74,195,80,Minnesota State,12,CAR,WR
Ar'Darius Washington,25,29,68,176,80,TCU,4,BLT,FS
Azeez Al-Shaair,28,0,74,228,80,FAU,6,HST,MLB
Carl Granderson,28,96,77,261,80,Wyoming,6,NO,LE
Christian Barmore,26,90,77,305,80,Alabama,4,NE,DT
Dalton Schultz,29,86,77,244,80,Stanford,7,HST,TE
Darious Williams,32,31,69,187,80,UAB,7,LAR,CB
Darnell Wright,24,58,78,335,80,Tennessee,2,CHI,RT
Davon Godchaux,30,92,75,330,80,LSU,8,NO,DT
Ernest Jones IV,25,13,74,230,80,South Carolina,4,SEA,MLB
Frankie Luvu,28,4,75,235,80,Wash. St.,7,WAS,ROLB
Garrett Williams,24,21,70,192,80,Syracuse,2,ARI,CB
